"","rainfall_mm","fertilizer","temperature","nitrogen_n","phosphorus_p","potassium_k","yield_q_acre"
"1",1230,80,28,80,24,20,12
"2",480,60,36,70,20,18,8
"3",1250,75,29,78,22,19,11
"4",450,65,35,70,19,18,9
"5",1200,80,27,79,22,19,11
"6",500,70,34,74,22,16,10
"7",1275,71,28,77,21,20,11
"8",425,65,37,67,18,15,7
"9",1200,77,27,78,23,20,12
"10",400,50,39,60,18,15,6
"11",1280,80,26,80,24,20,12
"12",415,55,38,65,19,17,8
"13",1225,79,29,79,23,20,11
"14",425,50,37,65,18,19,9
"15",1250,70,24,70,22,18,11
"16",400,60,39,60,18,15,5.5
"17",1300,80,28,80,24,20,12
"18",410,55,36,65,21,16,7
"19",1150,77,28,76,23,20,11
"20",1200,78,27,78,23,19,12
"21",410,50,37,59,19,15,6
"22",1280,76,26,75,24,19,11
"23",425,55,38,65,19,17,7
"24",1225,73,29,73,23,20,10
"25",450,50,37,65,18,19,9
"26",1250,70,24,70,22,18,10
"27",400,60,39,60,18,15,6
"28",1250,80,28,80,24,20,12
"29",405,55,36,60,21,16,7
"30",1200,72,29,73,21,19,10
"31",1150,80,26,75,21,20,11
"32",475,55,39,61,18,16,6
"33",1275,76,26,75,24,19,11
"34",450,55,38,65,19,17,7
"35",1200,73,29,73,23,20,10
"36",500,50,37,65,18,19,9
"37",1300,70,24,70,22,18,10
"38",425,60,39,60,18,15,6
"39",1250,75,26,75,22,19,12
"40",440,58,37,66,22,18,8
"41",1275,78,28,77,23,21,11
"42",405,55,36,60,21,16,7
"43",1175,78,28,75,23,22,11
"44",410,60,39,65,18,15,6
"45",1250,80,26,78,23,19,11
"46",460,55,38,61,20,18,7
"47",1275,76,26,75,24,19,11
"48",445,60,38,68,22,18,8
"49",1220,77,29,75,22,19,10
"50",450,50,37,60,18,15,6
"51",1225,79,24,79,22,19,11
"52",430,65,39,65,19,16,6
"53",1275,77,27,78,21,20,11
"54",400,52,38,64,19,15,6.5
"55",1245,78,27,78,22,19,10
"56",455,58,37,61,21,18,7.5
"57",1280,73,28,75,24,19,11
"58",475,62,37,68,22,18,9
"59",1300,79,28,77,23,19,10
"60",425,55,36,65,19,15,7
"61",1175,77,25,75,22,19,11
"62",425,70,39,70,20,16,6.5
"63",1200,75,27,79,21,20,11
"64",450,56,40,67,18,15,7
"65",1200,75,27,76,21,19,11
"66",410,55,38,68,20,16,7
"67",1250,75,27,75,23,20,11
"68",475,60,37,63,20,18,7
"69",1225,75,29,77,23,19,10
"70",455,60,38,65,20,16,8.5
"71",1245,77,27,75,22,20,9.5
"72",450,59,40,67,18,16,7.5
"73",1200,79,27,77,23,20,10.5
"74",475,72,36,71,21,17,7
"75",1275,77,28,76,22,19,10
"76",475,58,39,68,19,16,7.5
"77",1300,80,28,80,24,20,12
"78",400,50,40,60,18,15,6
"79",1175,70,28,70,22,19,10
"80",445,65,39,65,21,19,7.5
"81",1200,77,29,76,22,19,9.5
"82",450,65,38,60,20,16,8
"83",1225,75,28,79,21,19,9.5
"84",450,65,39,70,20,19,8.5
"85",1300,76,28,77,22,20,9
"86",450,70,36,72,25,18,8
"87",1250,77,28,76,22,19,10
"88",475,60,39,70,20,17,8
"89",1200,75,28,77,23,19,11
"90",410,52,40,62,19,16,6.5
"91",1225,75,28,75,23,20,11
"92",460,60,39,60,20,16,7
"93",1150,78,29,77,21,18,9
"94",475,65,38,60,20,16,8
"95",1250,77,28,78,23,20,9
"96",425,60,39,65,19,17,6.5
"97",1220,79,28,77,23,21,10.5
"98",480,65,36,68,21,16,7
"99",1230,80,28,80,24,20,12
